node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,GPU,4,0.0008026897198
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,CPU,5,0.001880544708
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,GPU,5,0.0005839004403
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,CPU,5,0.001815585863
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,GPU,5,0.0007084838691
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,CPU,6,0.001620383632
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,GPU,6,0.0005807418199
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,CPU,6,0.001934379481
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,GPU,6,0.0007214512853
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,CPU,7,0.001801064894
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,GPU,7,0.0006073062619
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,CPU,7,0.001801156998
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,GPU,7,0.0008785918355
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,CPU,8,0.001957190888
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,GPU,8,0.0006376651781
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,CPU,8,0.001592807401
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,GPU,8,0.0007649412467
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,CPU,9,0.001900421438
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,GPU,9,0.0006443687848
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,CPU,9,0.002183332897
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,GPU,9,0.0007269688305
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,CPU,10,0.002364946831
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,GPU,10,0.0006730521009
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,CPU,10,0.002035705249
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,GPU,10,0.0008678099229
