node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
inf02_A40,NVIDIA A40,branching-4x4,17,1000,17000,CPU,2,0.001417940145
inf02_A40,NVIDIA A40,branching-4x4,17,1000,17000,GPU,2,0.0007420467479
inf02_A40,NVIDIA A40,linear-chain,16,2000,32000,CPU,2,0.003439730122
inf02_A40,NVIDIA A40,linear-chain,16,2000,32000,GPU,2,0.0007637773951
inf02_A40,NVIDIA A40,branching-4x4,17,2000,34000,CPU,2,0.004093869527
inf02_A40,NVIDIA A40,branching-4x4,17,2000,34000,GPU,2,0.001069570581
inf02_A40,NVIDIA A40,linear-chain,16,3000,48000,CPU,2,0.007390659764
inf02_A40,NVIDIA A40,linear-chain,16,3000,48000,GPU,2,0.001104122471
inf02_A40,NVIDIA A40,branching-4x4,17,3000,51000,CPU,2,0.007761118526
inf02_A40,NVIDIA A40,branching-4x4,17,3000,51000,GPU,2,0.001092703924
inf02_A40,NVIDIA A40,linear-chain,16,5000,80000,CPU,2,0.01452089331
inf02_A40,NVIDIA A40,linear-chain,16,5000,80000,GPU,2,0.002129095793
inf02_A40,NVIDIA A40,branching-4x4,17,5000,85000,CPU,2,0.01514110674
inf02_A40,NVIDIA A40,branching-4x4,17,5000,85000,GPU,2,0.002141039073
inf02_A40,NVIDIA A40,linear-chain,16,7000,112000,CPU,2,0.02129843235
inf02_A40,NVIDIA A40,linear-chain,16,7000,112000,GPU,2,0.002175660296
inf02_A40,NVIDIA A40,branching-4x4,17,7000,119000,CPU,2,0.02195546627
inf02_A40,NVIDIA A40,branching-4x4,17,7000,119000,GPU,2,0.00217615217
inf02_A40,NVIDIA A40,linear-chain,16,10000,160000,CPU,2,0.03123569272
inf02_A40,NVIDIA A40,linear-chain,16,10000,160000,GPU,2,0.002292015336
inf02_A40,NVIDIA A40,branching-4x4,17,10000,170000,CPU,2,0.03262871179
inf02_A40,NVIDIA A40,branching-4x4,17,10000,170000,GPU,2,0.002299263261
inf02_A40,NVIDIA A40,linear-chain,16,15000,240000,CPU,2,0.04857998328
inf02_A40,NVIDIA A40,linear-chain,16,15000,240000,GPU,2,0.002449743314
inf02_A40,NVIDIA A40,branching-4x4,17,15000,255000,CPU,2,0.04997814785
inf02_A40,NVIDIA A40,branching-4x4,17,15000,255000,GPU,2,0.002466895634
inf02_A40,NVIDIA A40,linear-chain,16,20000,320000,CPU,2,0.06517377767
inf02_A40,NVIDIA A40,linear-chain,16,20000,320000,GPU,2,0.002611828663
inf02_A40,NVIDIA A40,branching-4x4,17,20000,340000,CPU,2,0.06799036373
inf02_A40,NVIDIA A40,branching-4x4,17,20000,340000,GPU,2,0.002673576908
inf02_A40,NVIDIA A40,linear-chain,16,30000,480000,CPU,2,0.1008748315
inf02_A40,NVIDIA A40,linear-chain,16,30000,480000,GPU,2,0.003130983494
inf02_A40,NVIDIA A40,branching-4x4,17,30000,510000,CPU,2,0.1058166244
inf02_A40,NVIDIA A40,branching-4x4,17,30000,510000,GPU,2,0.00326626355
inf02_A40,NVIDIA A40,linear-chain,16,40000,640000,CPU,2,0.1308518843
inf02_A40,NVIDIA A40,linear-chain,16,40000,640000,GPU,2,0.003749279271
inf02_A40,NVIDIA A40,branching-4x4,17,40000,680000,CPU,2,0.1370568796
inf02_A40,NVIDIA A40,branching-4x4,17,40000,680000,GPU,2,0.003900302811
inf02_A40,NVIDIA A40,linear-chain,16,50000,800000,CPU,2,0.1631832643
inf02_A40,NVIDIA A40,linear-chain,16,50000,800000,GPU,2,0.004400604151
inf02_A40,NVIDIA A40,branching-4x4,17,50000,850000,CPU,2,0.1696000879
inf02_A40,NVIDIA A40,branching-4x4,17,50000,850000,GPU,2,0.004543904825
inf02_A40,NVIDIA A40,linear-chain,16,100,1600,CPU,3,0.0001101648878
inf02_A40,NVIDIA A40,linear-chain,16,100,1600,GPU,3,0.0006835658635
inf02_A40,NVIDIA A40,branching-4x4,17,100,1700,CPU,3,0.0001102172903
inf02_A40,NVIDIA A40,branching-4x4,17,100,1700,GPU,3,0.0006692095172
inf02_A40,NVIDIA A40,linear-chain,16,500,8000,CPU,3,0.0007084002097
inf02_A40,NVIDIA A40,linear-chain,16,500,8000,GPU,3,0.0007012392084
inf02_A40,NVIDIA A40,branching-4x4,17,500,8500,CPU,3,0.0007159306889
inf02_A40,NVIDIA A40,branching-4x4,17,500,8500,GPU,3,0.0006796884395
inf02_A40,NVIDIA A40,linear-chain,16,1000,16000,CPU,3,0.001387369917
inf02_A40,NVIDIA A40,linear-chain,16,1000,16000,GPU,3,0.0007234892675
inf02_A40,NVIDIA A40,branching-4x4,17,1000,17000,CPU,3,0.001391562961
inf02_A40,NVIDIA A40,branching-4x4,17,1000,17000,GPU,3,0.0006853716714
inf02_A40,NVIDIA A40,linear-chain,16,2000,32000,CPU,3,0.003510594936
inf02_A40,NVIDIA A40,linear-chain,16,2000,32000,GPU,3,0.0007659105318
inf02_A40,NVIDIA A40,branching-4x4,17,2000,34000,CPU,3,0.00412131037
inf02_A40,NVIDIA A40,branching-4x4,17,2000,34000,GPU,3,0.001077382267
inf02_A40,NVIDIA A40,linear-chain,16,3000,48000,CPU,3,0.007480130877
inf02_A40,NVIDIA A40,linear-chain,16,3000,48000,GPU,3,0.00110953138
inf02_A40,NVIDIA A40,branching-4x4,17,3000,51000,CPU,3,0.007832415899
inf02_A40,NVIDIA A40,branching-4x4,17,3000,51000,GPU,3,0.001110359388
inf02_A40,NVIDIA A40,linear-chain,16,5000,80000,CPU,3,0.01464856755
inf02_A40,NVIDIA A40,linear-chain,16,5000,80000,GPU,3,0.002136286009
inf02_A40,NVIDIA A40,branching-4x4,17,5000,85000,CPU,3,0.01506495909
inf02_A40,NVIDIA A40,branching-4x4,17,5000,85000,GPU,3,0.002170140499
inf02_A40,NVIDIA A40,linear-chain,16,7000,112000,CPU,3,0.02101816481
inf02_A40,NVIDIA A40,linear-chain,16,7000,112000,GPU,3,0.002208367396
inf02_A40,NVIDIA A40,branching-4x4,17,7000,119000,CPU,3,0.02192904299
inf02_A40,NVIDIA A40,branching-4x4,17,7000,119000,GPU,3,0.002213499763
inf02_A40,NVIDIA A40,linear-chain,16,10000,160000,CPU,3,0.03055551919
inf02_A40,NVIDIA A40,linear-chain,16,10000,160000,GPU,3,0.002283022079
inf02_A40,NVIDIA A40,branching-4x4,17,10000,170000,CPU,3,0.03173212572
inf02_A40,NVIDIA A40,branching-4x4,17,10000,170000,GPU,3,0.002298968218
inf02_A40,NVIDIA A40,linear-chain,16,15000,240000,CPU,3,0.04818620682
inf02_A40,NVIDIA A40,linear-chain,16,15000,240000,GPU,3,0.002428411083
inf02_A40,NVIDIA A40,branching-4x4,17,15000,255000,CPU,3,0.05007570874
